topic_id,category,title,author,created_at_raw,created_at_iso,fetched_at_raw,fetched_at_iso,source_url,file_path,approx_chars,approx_tokens,data_quality,status
47,roles,紫宵的角色 - 黑魔女 迪亚贝尔斯塔尔,紫宵,"九月 08, 2025, 10:49 上午",2025-09-08T10:49:00+08:00,2026-06-10 10:34:24 +0800,2026-06-10T10:34:24.489516+08:00,https://number81.xyz/index.php?topic=47.0,kb/roles/47-topic.md,7840,3920,ok,updated
48,roles,紫宵的角色 - 断罪之迪亚贝尔斯塔尔,紫宵,"九月 08, 2025, 10:52 上午",2025-09-08T10:52:00+08:00,2026-06-10 10:34:25 +0800,2026-06-10T10:34:25.369419+08:00,https://number81.xyz/index.php?topic=48.0,kb/roles/48-topic.md,5912,2956,ok,updated
49,roles,小可的角色 - 龙公,小可,"九月 08, 2025, 11:00 上午",2025-09-08T11:00:00+08:00,2026-06-10 10:34:26 +0800,2026-06-10T10:34:26.214609+08:00,https://number81.xyz/index.php?topic=49.0,kb/roles/49-topic.md,4365,2183,ok,updated
51,roles,增熵星的角色 - 五十铃怜,增熵星,"九月 08, 2025, 11:05 上午",2025-09-08T11:05:00+08:00,2026-06-10 10:34:27 +0800,2026-06-10T10:34:27.072801+08:00,https://number81.xyz/index.php?topic=51.0,kb/roles/51-topic.md,1561,781,ok,updated
52,roles,小可的角色 - 豪鬼,小可,"九月 08, 2025, 11:07 上午",2025-09-08T11:07:00+08:00,2026-06-10 10:34:27 +0800,2026-06-10T10:34:27.975004+08:00,https://number81.xyz/index.php?topic=52.0,kb/roles/52-topic.md,3554,1777,ok,updated
54,roles,Ombre的角色-来栖晓（Joker）,Ombre,"九月 08, 2025, 11:12 上午",2025-09-08T11:12:00+08:00,2026-06-10 10:34:28 +0800,2026-06-10T10:34:28.816085+08:00,https://number81.xyz/index.php?topic=54.0,kb/roles/54-ombre-joker.md,1382,691,ok,updated
55,roles,Jerry的角色 - 皮古蒙,Jerry,"九月 08, 2025, 11:13 上午",2025-09-08T11:13:00+08:00,2026-06-10 10:34:29 +0800,2026-06-10T10:34:29.742292+08:00,https://number81.xyz/index.php?topic=55.0,kb/roles/55-jerry.md,2904,1452,ok,updated
56,roles,小可的角色 - 天下第一武道会,小可,"九月 08, 2025, 11:13 上午",2025-09-08T11:13:00+08:00,2026-06-10 10:34:30 +0800,2026-06-10T10:34:30.584489+08:00,https://number81.xyz/index.php?topic=56.0,kb/roles/56-topic.md,5403,2702,ok,updated
58,roles,小可的角色 - 【吞世虓虎】曹操,小可,"九月 08, 2025, 11:15 上午",2025-09-08T11:15:00+08:00,2026-06-10 10:34:31 +0800,2026-06-10T10:34:31.457076+08:00,https://number81.xyz/index.php?topic=58.0,kb/roles/58-topic.md,4700,2350,ok,updated
59,roles,Jerry的角色 - 津上翔一,Jerry,"九月 08, 2025, 11:24 上午",2025-09-08T11:24:00+08:00,2026-06-10 10:34:32 +0800,2026-06-10T10:34:32.294229+08:00,https://number81.xyz/index.php?topic=59.0,kb/roles/59-jerry.md,4591,2296,ok,updated
